Assignment ID,Attempt ID,Hint ID,Hint Number,Timing,Relevance,Correctness,Interpretability,Quality,Time,Followed,View Duration,Pause Before Edit,Hint Use Label,Total Hints Requested,Total Hints Followed
guess1Lab,03034c52-2f8f-4ed6-b3eb-6aa45663c17c,234719,1,Early,3,3,2,8,1.47E+12,TRUE,14,27,1,2,2
guess1Lab,06bd0428-5964-42f1-b669-e9b4404f4521,190051,1,Early,2,3,2,7,1.47E+12,FALSE,8,46,2,4,1
guess1Lab,0bcfe2c5-c49c-4182-9d1e-ba6f8327d6fc,234226,1,Early,1,2,1,4,1.47E+12,FALSE,13,14,2,10,2
guess1Lab,20c14fc3-65ac-490a-9c35-0cf7c07c0541,232803,1,Early,1,2,1,4,1.47E+12,FALSE,25,29,3,23,16
guess1Lab,34898f7f-6aa6-454b-b2b8-a02b839997e6,233018,1,Early,3,3,2,8,1.47E+12,TRUE,5,17,2,11,8
guess1Lab,3ae58700-4575-4bbe-af81-579f02460c8e,191717,1,Early,3,1,2,6,1.47E+12,FALSE,13,30,1,3,0
guess1Lab,7e3cc0c3-b245-4c5d-9a12-dae61b2b0924,190226,1,Start,2,3,2,7,1.47E+12,TRUE,3,103,1,2,1
guess1Lab,821f7bb0-6b64-4e8e-bb1a-fd35f0ff696c,204860,1,Early,3,2,2,7,1.47E+12,FALSE,10,12,2,5,0
guess1Lab,82531825-e32b-4f71-a67f-0cb51affe831,236844,1,Start,2,3,2,7,1.47E+12,FALSE,5,9,3,16,10
guess1Lab,92ce1f93-3392-4f5b-a111-c17bac56aee0,232905,1,Early,2,3,3,8,1.47E+12,TRUE,38,5,3,28,23
guess1Lab,cbda4526-377a-4541-a2f7-cc3914af8907,190442,1,Start,2,2,2,6,1.47E+12,FALSE,6,107,1,1,0
guess1Lab,d166e87f-a82a-4e0c-b5fe-0d4c0483efc6,205709,1,Early,1,1,1,3,1.47E+12,FALSE,7,7,1,1,0
guess1Lab,d1a3f3ad-c3f0-4c34-99fc-3abb11725ba7,201082,1,Early,2,3,2,7,1.47E+12,TRUE,13,13,3,24,20
guess2HW,03034c52-2f8f-4ed6-b3eb-6aa45663c17c,240495,1,Late,3,3,2,8,1.47E+12,TRUE,19,75,1,1,1
guess2HW,0bcfe2c5-c49c-4182-9d1e-ba6f8327d6fc,251928,1,Mid,2,2,1,5,1.47E+12,FALSE,3,5,3,26,4
guess2HW,0d8728ce-3b1c-4822-8fa5-4615b03b9583,208057,1,Mid,3,3,3,9,1.47E+12,TRUE,6,17,1,2,1
guess2HW,0ef06541-c5a7-4ef0-bd50-0fc954687bb2,206556,1,Early,3,3,2,8,1.47E+12,FALSE,6,80,3,68,7
guess2HW,2a441e32-5a99-4f7b-ab06-1ee8b9e202e4,256706,1,Mid,2,3,1,6,1.47E+12,FALSE,10,13,3,34,15
guess2HW,2dee797a-5367-4acb-b459-e79dae895bd6,248498,1,Early,2,3,2,7,1.47E+12,FALSE,14,NA,1,2,0
guess2HW,43202e42-74d7-4ed8-bbc1-0b2a40669aeb,257982,1,Early,1,1,1,3,1.47E+12,FALSE,7,54,2,20,6
guess2HW,6655648d-edfd-4445-9a71-19078115edf3,250632,1,Late,1,1,1,3,1.47E+12,FALSE,NA,314,1,1,0
guess2HW,6af85a7a-e708-449e-82b6-4d6d08bf5664,255159,1,Mid,1,1,1,3,1.47E+12,FALSE,40,17,1,1,0
guess2HW,847e6dcc-8e8b-4894-9b14-bf46d0618e75,222092,1,Mid,1,1,1,3,1.47E+12,FALSE,32,15,2,18,9
guess2HW,b1780cf7-a738-4872-9acf-ad2ec63d80b7,246799,1,Late,1,1,1,3,1.47E+12,FALSE,10,56,3,25,2
guess2HW,b9806d79-48f4-4b2a-8ef6-82aa7628c0dd,256444,1,Mid,1,1,1,3,1.47E+12,FALSE,3,129,1,2,0
guess2HW,c0abbe0d-5694-4a98-9b97-d417a3e7fcea,226483,1,Late,1,1,1,3,1.47E+12,FALSE,15,64,1,2,0
polygonMakerLab,09d46e72-14e5-4976-94ca-bd2f308e306e,81703,1,Start,3,3,3,9,1.47E+12,TRUE,4,23,3,17,7
polygonMakerLab,0d3f3371-ec4d-4b67-abba-b11029e680ab,124438,1,Late,1,3,3,7,1.47E+12,TRUE,13,27,1,1,1
polygonMakerLab,1c07dbfc-8469-418a-b99e-48d8477e5985,88594,1,Start,3,3,3,9,1.47E+12,FALSE,10,76,2,2,1
polygonMakerLab,2f9bb599-3551-4d27-8a2a-f95062a9ec00,86702,1,Late,1,3,3,7,1.47E+12,FALSE,3,9,1,1,0
polygonMakerLab,305c0726-50fe-4780-879f-97abb8f3397d,149113,1,Start,3,3,3,9,1.47E+12,TRUE,11,22,3,8,4
